# Title: Crypto Firewall (Splunk),,,,,,,
# Updated: 2026-01-05T12:03:18Z,,,,,,,
# Expires: 1 days (update frequency),,,,,,,
# Homepage: https://github.com/chartingshow/crypto-firewall/,,,,,,,
# Contribute: https://github.com/chartingshow/crypto-firewall/issues,,,,,,,
# License: GPL-3.0 license,,,,,,,
# Source: https://github.com/chartingshow/crypto-firewall/blob/master/src/blacklists/splunk.csv, stamparm/ipsum, binarydefense, Proofpoint emergingthreats, greensnow, threatview, myip.ms, firehol
ip,message,updated,,,,,
103.224.182.213,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.224.182.238,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.224.182.240,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.224.182.249,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.224.182.253,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.224.212.211,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.224.241.74,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.230.136.195,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.231.75.101,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.231.91.59,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.235.75.112,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.235.75.139,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.245.231.188,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.25.51.23,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.251.164.121,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.253.42.91,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.254.12.236,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.27.110.83,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.29.68.12,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.29.68.126,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.30.40.248,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.35.191.28,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.36.79.3,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.41.204.169,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.42.58.120,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.43.46.182,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.43.75.120,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.56.149.105,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.70.28.102,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.71.22.100,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.71.22.206,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.71.22.52,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.71.22.68,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.71.99.57,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.72.147.129,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.73.224.46,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.73.66.37,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.75.201.2,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.75.201.4,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.75.32.173,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.8.26.102,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.8.26.103,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.8.26.17,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.82.248.59,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.85.95.4,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
103.86.177.53,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.131.175.161,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.131.62.48,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.143.94.101,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.152.168.216,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.154.56.133,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.164.55.7,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.167.16.97,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.101.19,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.132.44,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.151.116,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.154.79,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.155.129,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.155.143,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.214.151,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.32.43,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.33.12,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.168.45.122,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.18.24.216,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.18.39.99,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.20.30.36,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.20.34.30,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.206.226.62,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.207.139.169,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.112.1,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.16.1,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.16.254,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.17.24,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.18.59,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.2.12,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.2.172,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.2.204,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.20.251,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.21.166,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.22.247,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.24.209,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.29.49,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.31.108,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.31.48,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.32.1,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.32.229,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.32.77,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.33.44,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.34.114,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.35.125,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.35.38,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.35.54,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.37.205,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.37.45,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
